cycle,avg_attention,avg_performance,is_break,high_attention_count
69,0.6761549621491821,0.6904000000000002,true,0
70,0.7261549621491824,0.6904000000000002,true,21
71,0.7761549621491828,0.6904000000000002,true,23
72,0.8261549621491827,0.6988000000000001,true,23
73,0.8761549621491825,0.708,true,23
74,0.9261549621491822,0.7172000000000003,true,25
75,0.9761549621491825,0.7264000000000003,false,25
76,0.9261549621491822,0.7356000000000003,false,25
77,0.8761549621491825,0.7448000000000001,false,23
78,0.8261549621491827,0.7532000000000002,false,23
79,0.7761549621491828,0.7532000000000002,false,23
80,0.7261549621491824,0.7532000000000002,false,21
81,0.6761549621491821,0.7532000000000002,false,0
82,0.6261549621491825,0.7532000000000002,false,0
83,0.5761549621491823,0.7532000000000002,false,0
84,0.5261549621491821,0.7532000000000002,false,0
85,0.47615496214918246,0.7532000000000002,false,0
86,0.4261549621491821,0.7532000000000002,false,0
87,0.37615496214918226,0.7532000000000002,false,0
88,0.3261549621491822,0.7532000000000002,false,0
89,0.2761549621491824,0.7532000000000002,false,0
90,0.22615496214918226,0.7532000000000002,true,0
91,0.2761549621491824,0.7532000000000002,true,0
92,0.3261549621491822,0.7532000000000002,true,0
93,0.37615496214918226,0.7532000000000002,true,0
94,0.4261549621491821,0.7532000000000002,true,0
95,0.47615496214918246,0.7532000000000002,true,0
96,0.5261549621491821,0.7532000000000002,true,0
97,0.5761549621491823,0.7532000000000002,true,0
98,0.6261549621491825,0.7532000000000002,true,0
99,0.6761549621491821,0.7532000000000002,true,0
100,0.7261549621491824,0.7532000000000002,true,21
101,0.7761549621491828,0.7532000000000002,true,23
102,0.8261549621491827,0.7616000000000003,true,23
103,0.8761549621491825,0.7708000000000002,true,23
104,0.9261549621491822,0.7800000000000002,true,25
105,0.9761549621491825,0.7892000000000001,false,25
106,0.9261549621491822,0.7984000000000004,false,25
107,0.8761549621491825,0.8076000000000002,false,23
108,0.8261549621491827,0.8160000000000004,false,23
109,0.7761549621491828,0.8160000000000004,false,23
110,0.7261549621491824,0.8160000000000004,false,21
111,0.6761549621491821,0.8160000000000004,false,0
112,0.6261549621491825,0.8160000000000004,false,0
113,0.5761549621491823,0.8160000000000004,false,0
114,0.5261549621491821,0.8160000000000004,false,0
115,0.47615496214918246,0.8160000000000004,false,0
116,0.4261549621491821,0.8160000000000004,false,0
117,0.37615496214918226,0.8160000000000004,false,0
118,0.3261549621491822,0.8160000000000004,false,0
119,0.2761549621491824,0.8160000000000004,false,0
120,0.22615496214918226,0.8160000000000004,true,0
121,0.2761549621491824,0.8160000000000004,true,0
122,0.3261549621491822,0.8160000000000004,true,0
123,0.37615496214918226,0.8160000000000004,true,0
124,0.4261549621491821,0.8160000000000004,true,0
125,0.47615496214918246,0.8160000000000004,true,0
126,0.5261549621491821,0.8160000000000004,true,0
127,0.5761549621491823,0.8160000000000004,true,0
128,0.6261549621491825,0.8160000000000004,true,0
129,0.6761549621491821,0.8160000000000004,true,0
130,0.7261549621491824,0.8160000000000004,true,21
131,0.7761549621491828,0.8160000000000004,true,23
132,0.8261549621491827,0.8244000000000001,true,23
133,0.8761549621491825,0.8336000000000005,true,23
134,0.9261549621491822,0.8428000000000003,true,25
135,0.9761549621491825,0.8520000000000002,false,25
136,0.9261549621491822,0.8612000000000003,false,25
137,0.8761549621491825,0.8704000000000002,false,23
138,0.8261549621491827,0.8788000000000004,false,23
139,0.7761549621491828,0.8788000000000004,false,23
